Line 218:24 - RPAREN ())
Line 218:25 - SEMICOLON (;)
Line 220:1 - RBRACE (})
Line 223:1 - STRUCT (struct)
Line 223:8 - IDENTIFIER (Point)
Line 223:14 - LBRACE ({)
Line 223:16 - INT (int)
Line 223:20 - IDENTIFIER (x)
Line 223:21 - SEMICOLON (;)
Line 223:23 - INT (int)
Line 223:27 - IDENTIFIER (y)
Line 223:28 - SEMICOLON (;)
Line 223:30 - RBRACE (})
Line 224:1 - IDENTIFIER (Point)
Line 224:7 - IDENTIFIER (p)
Line 224:9 - EQUAL (=)
Line 224:11 - LBRACE ({)
Line 224:12 - FLOAT_LIT (1.5)
Line 224:15 - COMMA (,)
Line 224:17 - INTEGER (2)
Line 224:18 - RBRACE (})
Line 224:19 - SEMICOLON (;)
Line 227:1 - CLASS (class)
Line 227:7 - IDENTIFIER (Demo)
Line 227:12 - LBRACE ({)
Line 229:1 - RBRACE (})
Line 229:2 - EOF ()
